wave cflux
9980.399999999963 6.429802453948629e-14
9980.999999999964 6.470919804900605e-14
9981.599999999962 6.212969388638169e-14
9982.19999999996 6.467926136355124e-14
9982.799999999961 6.488483964798165e-14
9983.399999999961 6.632906639843401e-14
9983.99999999996 6.517791982399521e-14
9984.599999999959 6.303316887407628e-14
9985.199999999959 6.195482393442104e-14
9985.79999999996 6.38281838339738e-14
9986.399999999958 6.364880766673376e-14
9986.999999999956 6.429778652322811e-14
9987.599999999957 6.234402286819018e-14
9988.199999999957 6.271375190263374e-14
9988.799999999956 6.054377885264441e-14
9989.399999999954 6.226698352757151e-14
9989.999999999955 6.65062402800112e-14
9990.599999999955 6.476977869242662e-14
9991.199999999953 6.311389958427909e-14
9991.799999999952 6.519433193438121e-14
9992.399999999952 6.355129977494468e-14
9992.999999999953 6.555332482621832e-14
9993.599999999951 6.704350565515807e-14
9994.19999999995 6.591807076583318e-14
9994.79999999995 6.725096265866549e-14
9995.39999999995 6.751342852286644e-14
9995.999999999949 6.820465060650626e-14
9996.599999999948 6.499716892228178e-14
9997.199999999948 6.707764362403126e-14
9997.799999999948 6.786390026325417e-14
9998.399999999947 6.636523724638061e-14
9998.999999999945 6.768718462650146e-14
9999.599999999946 6.912972832248763e-14
10000.199999999946 6.755659755702326e-14
10000.799999999945 6.897760628735844e-14
10001.399999999943 6.862757246300444e-14
10001.999999999944 6.762979983839087e-14
10002.599999999944 6.663198909729467e-14
10003.199999999943 6.507756420743747e-14
10003.799999999941 6.427177160031909e-14
10004.399999999941 6.583351993703825e-14
10004.999999999942 6.486223826785006e-14
10005.59999999994 6.300682360831783e-14
10006.199999999939 6.75877751457458e-14
10006.79999999994 6.794059909662805e-14
10007.39999999994 6.721622075530091e-14
10007.999999999938 6.52534446697042e-14
10008.599999999937 6.346165912516971e-14
10009.199999999937 6.752914267810391e-14
10009.799999999937 7.051487283080311e-14
10010.399999999936 6.848397412042347e-14
10010.999999999935 6.605836059772217e-14
10011.599999999935 6.395387844114865e-14
10012.199999999935 6.764262984644293e-14
10012.799999999934 6.607631007290744e-14
10013.399999999932 6.682806282502394e-14
10013.999999999933 6.509911018451678e-14
10014.599999999933 6.793850692524833e-14
10015.199999999932 6.87244205161276e-14
10015.79999999993 6.85369484079777e-14
10016.39999999993 6.600379727635889e-14
10016.99999999993 6.537258408890025e-14
10017.59999999993 6.36694473185595e-14
10018.199999999928 6.690900021126588e-14
10018.799999999928 6.578561005947565e-14
10019.399999999929 6.207386679186111e-14
10019.999999999927 6.760206035640124e-14
