wave cflux
9980.399999999963 5.222001487909661e-14
9980.999999999964 5.226817632544454e-14
9981.599999999962 5.299812390839988e-14
9982.19999999996 5.5010332836798355e-14
9982.799999999961 5.39515509700929e-14
9983.399999999961 5.1577240538940895e-14
9983.99999999996 5.027490408913136e-14
9984.599999999959 5.083692103754643e-14
9985.199999999959 4.849958274750913e-14
9985.79999999996 5.0303125109351504e-14
9986.399999999958 5.02905318470082e-14
9986.999999999956 4.953727603492679e-14
9987.599999999957 4.766311992440361e-14
9988.199999999957 4.737094183847887e-14
9988.799999999956 4.964973363471843e-14
9989.399999999954 5.4113989866519645e-14
9989.999999999955 5.3881095616573234e-14
9990.599999999955 4.919316508845647e-14
9991.199999999953 4.874994874605855e-14
9991.799999999952 4.720060351278603e-14
9992.399999999952 4.6312018517271226e-14
9992.999999999953 4.7894545419219486e-14
9993.599999999951 5.0097240622510664e-14
9994.19999999995 4.991027504006322e-14
9994.79999999995 5.1137140007239453e-14
9995.39999999995 5.33479116696827e-14
9995.999999999949 5.16849661891727e-14
9996.599999999948 5.0227737059463503e-14
9997.199999999948 5.4993183807748244e-14
9997.799999999948 5.2836562961622964e-14
9998.399999999947 5.2544847355687424e-14
9998.999999999945 5.1837453719018626e-14
9999.599999999946 5.4905188095956837e-14
10000.199999999946 5.482589141253373e-14
10000.799999999945 5.727901402426301e-14
10001.399999999943 5.2767162587639103e-14
10001.999999999944 5.14901054126239e-14
10002.599999999944 5.326085319984743e-14
10003.199999999943 5.487816266274174e-14
10003.799999999941 5.5182848884198585e-14
10004.399999999941 5.4683165513888434e-14
10004.999999999942 5.3108824761858913e-14
10005.59999999994 5.282232349074667e-14
10006.199999999939 5.442053617232866e-14
10006.79999999994 5.0970460016845805e-14
10007.39999999994 4.9648735829906565e-14
10007.999999999938 5.200784964295188e-14
10008.599999999937 5.41012238094551e-14
10009.199999999937 5.612892412342591e-14
10009.799999999937 5.69968626908514e-14
10010.399999999936 5.449320439942303e-14
10010.999999999935 5.0970224118169994e-14
10011.599999999935 5.051067316890075e-14
10012.199999999935 5.330027368969617e-14
10012.799999999934 5.2221421800822e-14
10013.399999999932 5.4574507280381705e-14
10013.999999999933 5.2307983485833705e-14
10014.599999999933 5.4552348051448585e-14
10015.199999999932 5.373706909883743e-14
10015.79999999993 5.5738872650995357e-14
10016.39999999993 5.278032505612296e-14
10016.99999999993 5.309192052533056e-14
10017.59999999993 5.348848144596076e-14
10018.199999999928 5.5135635691235104e-14
10018.799999999928 5.258862625356626e-14
10019.399999999929 5.29529855226407e-14
10019.999999999927 5.841971752949511e-14
10020.599999999926 5.728563062213049e-14
10021.199999999926 5.717043202372154e-14
10021.799999999927 5.927031394435851e-14
10022.399999999925 5.685385854188292e-14
10022.999999999924 5.68847015525913e-14
10023.599999999924 5.4692666682457786e-14
10024.199999999924 5.35222187682499e-14
10024.799999999923 5.420153453326664e-14
10025.399999999921 5.4623219721661826e-14
10025.999999999922 5.6394334697667994e-14
10026.599999999922 5.6334875525869584e-14
10027.19999999992 5.6694674793072476e-14
10027.79999999992 5.926088392655673e-14
10028.39999999992 5.63860579152239e-14
10028.99999999992 5.15280795937152e-14
10029.599999999919 4.709064169557348e-14
10030.199999999917 4.42362833883781e-14
10030.799999999917 4.671578514718372e-14
10031.399999999918 4.6586888755468245e-14
10031.999999999916 4.9124958607411765e-14
10032.599999999915 4.938883944015111e-14
10033.199999999915 5.1889172703745027e-14
10033.799999999916 4.9295461681012846e-14
10034.399999999914 4.673187496153329e-14
10034.999999999913 5.1129857641475434e-14
10035.599999999913 5.322016470167665e-14
10036.199999999913 5.1346320722794533e-14
10036.799999999912 4.893612701138152e-14
10037.39999999991 4.8064547472832266e-14
10037.99999999991 4.617375690577443e-14
10038.599999999911 4.5836285427061163e-14
10039.19999999991 4.3603133883602036e-14
10039.799999999908 4.4699764994039076e-14
10040.399999999909 4.542905570294382e-14
10040.999999999909 4.6286093379854613e-14
10041.599999999908 4.6422306865684946e-14
10042.199999999906 4.679049938236218e-14
10042.799999999907 4.7973167440900103e-14
10043.399999999907 4.9021420264554715e-14
10043.999999999905 5.0591846030302026e-14
10044.599999999904 5.2323380850748894e-14
10045.199999999904 5.024903316182337e-14
10045.799999999905 5.111027466325139e-14
10046.399999999903 5.2058627150557406e-14
10046.999999999902 5.4398829258989374e-14
10047.599999999902 5.701946830614772e-14
10048.199999999903 5.560802046020467e-14
10048.799999999901 5.487682350365213e-14
10049.3999999999 5.2812174765489144e-14
10049.9999999999 5.161580933716117e-14
10050.5999999999 5.039554572125937e-14
10051.199999999899 5.2266301418015795e-14
10051.799999999897 5.33872220452483e-14
10052.399999999898 5.190554203896719e-14
10052.999999999898 4.9439257805787e-14
10053.599999999897 4.8861898973114786e-14
10054.199999999895 4.90757730982306e-14
10054.799999999896 5.1078763343547634e-14
10055.399999999896 5.323830730037389e-14
10055.999999999894 5.391080995587939e-14
10056.599999999893 5.399260284539805e-14
10057.199999999893 5.424781556647167e-14
10057.799999999894 5.531054799484312e-14
10058.399999999892 5.2227563213206067e-14
10058.99999999989 5.286262616540998e-14
10059.599999999891 5.5751448972679715e-14
10060.199999999892 5.535612810828429e-14
10060.79999999989 5.446069315732504e-14
10061.399999999889 5.3332106881919883e-14
10061.999999999889 5.0484798853460975e-14
10062.59999999989 4.9569943131087075e-14
10063.199999999888 4.8291630229727565e-14
10063.799999999886 4.6610234254043995e-14
10064.399999999887 4.839464383567379e-14
10064.999999999887 5.097852461753661e-14
10065.599999999886 5.16941886839024e-14
10066.199999999884 5.28592791147189e-14
10066.799999999885 5.4350293424078756e-14
10067.399999999885 5.49600343263245e-14
10067.999999999884 5.4386130117527664e-14
10068.599999999882 5.158536231435564e-14
10069.199999999882 5.5592352468262834e-14
10069.799999999883 5.5576775108846354e-14
10070.399999999881 5.483805226455746e-14
10070.99999999988 5.3386953112287546e-14
10071.59999999988 5.5411410984136265e-14
10072.19999999988 5.568472522280918e-14
10072.79999999988 5.464286665087339e-14
10073.399999999878 5.422227286443074e-14
10073.999999999878 5.897763314437958e-14
10074.599999999878 5.783363213988381e-14
10075.199999999877 5.009702081746085e-14
10075.799999999876 4.966013731689308e-14
10076.399999999876 5.283881479871324e-14
10076.999999999876 5.896296422779903e-14
10077.599999999875 5.5945073504641996e-14
10078.199999999873 5.80675673933224e-14
10078.799999999874 5.973277868696631e-14
10079.399999999874 5.901044593020679e-14
10079.999999999873 5.5382713084366816e-14
10080.599999999871 5.3868540047196083e-14
10081.199999999872 5.325161334094231e-14
10081.799999999872 5.5792446637876244e-14
10082.39999999987 5.547917361991661e-14
10082.999999999869 5.733724415125496e-14
10083.59999999987 5.62946431549409e-14
10084.19999999987 5.5681448475852725e-14
10084.799999999868 5.5461614203403554e-14
10085.399999999867 5.540864753914585e-14
10085.999999999867 5.321124544474206e-14
10086.599999999868 5.744405966458493e-14
10087.199999999866 5.86783416757638e-14
10087.799999999865 5.5511443881141103e-14
10088.399999999865 5.626477042047361e-14
10088.999999999865 5.81760557967232e-14
10089.599999999864 5.95167141346489e-14
10090.199999999862 5.744824866602558e-14
10090.799999999863 5.520656623023818e-14
10091.399999999863 5.5100568527218776e-14
10091.999999999862 5.554516468628777e-14
10092.59999999986 5.859915129497557e-14
10093.19999999986 5.76579651299198e-14
10093.799999999861 5.467135999218608e-14
10094.39999999986 5.340424952507048e-14
10094.999999999858 5.682527075639662e-14
10095.599999999858 6.198653473038387e-14
10096.199999999859 6.012763156565838e-14
10096.799999999857 5.693803413508221e-14
10097.399999999856 5.552414725776755e-14
10097.999999999856 5.687231666035302e-14
10098.599999999857 6.055252277375892e-14
10099.199999999855 6.140421821387138e-14
10099.799999999854 5.841398226940926e-14
10100.399999999854 5.751283916341846e-14
10100.999999999854 5.737474653499464e-14
10101.599999999853 6.216476189743097e-14
10102.199999999852 6.418365391578328e-14
10102.799999999852 6.3224755021251e-14
10103.399999999852 5.855520849622144e-14
10103.99999999985 5.771071918890774e-14
10104.59999999985 6.034462912476719e-14
10105.19999999985 6.459653334965881e-14
10105.79999999985 6.550440020318491e-14
10106.399999999849 6.189213714357712e-14
10106.999999999847 5.773092007766681e-14
10107.599999999848 5.690416594620273e-14
10108.199999999848 6.03348026955461e-14
10108.799999999846 6.224678306232891e-14
10109.399999999845 6.045076362360758e-14
10109.999999999845 5.75153565453377e-14
10110.599999999846 5.520779696911054e-14
10111.199999999844 5.5992786023527884e-14
10111.799999999843 5.998149678291685e-14
10112.399999999843 6.345248237021915e-14
10112.999999999844 6.043865740520894e-14
10113.599999999842 5.818367274050139e-14
10114.19999999984 5.7110750082258e-14
10114.799999999841 5.615866090910517e-14
